#n_l	N_0	probability

1.48034	0.034	3.49733e-05
1.48135	0.034	1.56915e-05
1.48236	0.034	2.54567e-05
1.48337	0.034	1.36198e-06
1.48438	0.034	7.67788e-06
1.48538	0.034	3.0843e-06
1.48639	0.034	2.96706e-08
1.4874	0.034	6.14899e-07
1.48841	0.034	7.65847e-08
1.48942	0.034	4.272e-09
1.49042	0.034	4.76602e-08
1.49143	0.034	1.04251e-09
1.49244	0.034	2.16593e-10
1.49345	0.034	1.09179e-09
1.49446	0.034	1.7841e-12
1.49546	0.034	3.67874e-12
1.49647	0.034	4.43295e-12
1.49748	0.034	1.09358e-18
1.49849	0.034	1.4324e-14
1.4995	0.034	8.87638e-18
1.4501	0.038	0
1.45111	0.038	1.71438e-11
1.45212	0.038	2.6323e-18
1.45313	0.038	8.6606e-09
1.45414	0.038	2.14485e-13
1.45514	0.038	2.14598e-07
1.45615	0.038	2.08443e-08
1.45716	0.038	3.00569e-06
1.45817	0.038	1.03932e-06
1.45918	0.038	1.75273e-05
1.46018	0.038	2.09933e-05
1.46119	0.038	2.87344e-05
1.4622	0.038	1.74404e-05
1.46321	0.038	9.3781e-05
1.46422	0.038	2.40811e-05
1.46522	0.038	0.00100324
1.46623	0.038	2.08002e-06
1.46724	0.038	0.000264968
1.46825	0.038	3.41772e-05
1.46926	0.038	0.00339873
1.47026	0.038	0.000757542
1.47127	0.038	0.00015907
1.47228	0.038	0.00659424
1.47329	0.038	4.68426e-06
1.4743	0.038	0.00202039
1.4753	0.038	1.10607e-05
1.47631	0.038	0.000114643
1.47732	0.038	3.61331e-05
1.47833	0.038	1.36537e-06
1.47934	0.038	2.80881e-05
1.48034	0.038	8.51637e-07
1.48135	0.038	2.50853e-06
1.48236	0.038	1.05869e-05
1.48337	0.038	3.55807e-08
1.48438	0.038	4.16695e-07
1.48538	0.038	8.55117e-08
1.48639	0.038	1.27377e-08
1.4874	0.038	3.14983e-08
1.48841	0.038	3.62557e-09
1.48942	0.038	2.03745e-09
1.49042	0.038	1.43299e-09
1.49143	0.038	5.12134e-11
1.49244	0.038	2.8879e-11
1.49345	0.038	1.09924e-10
1.49446	0.038	5.09232e-14
1.49546	0.038	8.3729e-13
1.49647	0.038	4.91068e-14
1.49748	0.038	1.02583e-18
1.49849	0.038	1.41365e-15
1.4995	0.038	4.92511e-20
1.4501	0.042	0
1.45111	0.042	3.94927e-12
1.45212	0.042	3.72335e-19
