#gamma	theta_0	probability

2.70065e-05	0.000196	3.84703e-32
2.70135e-05	0.000196	8.34628e-33
2.70205e-05	0.000196	1.0384e-33
2.70275e-05	0.000196	7.56402e-34
2.70345e-05	0.000196	6.08636e-35
2.70415e-05	0.000196	1.73546e-35
2.70485e-05	0.000196	2.03567e-36
2.70555e-05	0.000196	4.14006e-37
2.70625e-05	0.000196	2.48271e-37
2.70695e-05	0.000196	3.05906e-37
2.70765e-05	0.000196	2.51081e-37
2.70835e-05	0.000196	4.52637e-38
2.70905e-05	0.000196	1.13445e-38
2.70975e-05	0.000196	3.67497e-39
2.71045e-05	0.000196	1.86547e-39
2.71115e-05	0.000196	1.33027e-39
2.71185e-05	0.000196	6.75598e-40
2.71255e-05	0.000196	2.99644e-40
2.71325e-05	0.000196	1.01161e-40
2.71395e-05	0.000196	3.24015e-41
2.71465e-05	0.000196	6.59252e-42
2.71535e-05	0.000196	3.70129e-43
2.71605e-05	0.000196	1.73989e-44
2.71675e-05	0.000196	4.9394e-45
2.71745e-05	0.000196	4.74705e-45
2.71815e-05	0.000196	3.54743e-46
2.71885e-05	0.000196	7.16661e-48
2.71955e-05	0.000196	5.51115e-49
2.72025e-05	0.000196	1.00157e-51
2.72095e-05	0.000196	6.57237e-53
2.72165e-05	0.000196	3.57754e-55
2.65235e-05	0.0002104	6.83822e-34
2.65305e-05	0.0002104	2.2524e-33
2.65375e-05	0.0002104	6.86532e-33
2.65445e-05	0.0002104	1.1142e-32
2.65515e-05	0.0002104	3.07759e-32
2.65585e-05	0.0002104	4.58697e-32
2.65655e-05	0.0002104	8.64425e-32
2.65725e-05	0.0002104	4.4477e-31
2.65795e-05	0.0002104	3.49778e-31
2.65865e-05	0.0002104	3.80977e-31
2.65935e-05	0.0002104	4.19984e-31
2.66005e-05	0.0002104	1.23085e-30
2.66075e-05	0.0002104	3.90181e-30
2.66145e-05	0.0002104	9.14477e-30
2.66215e-05	0.0002104	2.56261e-29
2.66285e-05	0.0002104	2.422e-29
2.66355e-05	0.0002104	1.36389e-28
2.66425e-05	0.0002104	1.35759e-27
