#n_l	N_0	probability

1.4382	0.17	-nan
1.4386	0.17	-nan
1.439	0.17	-nan
1.4394	0.17	-nan
1.4398	0.17	-nan
1.4002	0.19	-nan
1.4006	0.19	-nan
1.401	0.19	-nan
1.4014	0.19	-nan
1.4018	0.19	-nan
1.4022	0.19	-nan
1.4026	0.19	-nan
1.403	0.19	-nan
1.4034	0.19	-nan
1.4038	0.19	-nan
1.4042	0.19	-nan
1.4046	0.19	-nan
1.405	0.19	-nan
1.4054	0.19	-nan
1.4058	0.19	-nan
1.4062	0.19	-nan
1.4066	0.19	-nan
1.407	0.19	-nan
1.4074	0.19	-nan
1.4078	0.19	-nan
1.4082	0.19	-nan
1.4086	0.19	-nan
1.409	0.19	-nan
1.4094	0.19	-nan
1.4098	0.19	-nan
1.4102	0.19	-nan
1.4106	0.19	-nan
1.411	0.19	-nan
1.4114	0.19	-nan
1.4118	0.19	-nan
1.4122	0.19	-nan
1.4126	0.19	-nan
1.413	0.19	-nan
1.4134	0.19	-nan
1.4138	0.19	-nan
1.4142	0.19	-nan
1.4146	0.19	-nan
1.415	0.19	-nan
1.4154	0.19	-nan
1.4158	0.19	-nan
1.4162	0.19	-nan
1.4166	0.19	-nan
1.417	0.19	-nan
1.4174	0.19	-nan
1.4178	0.19	-nan
1.4182	0.19	-nan
1.4186	0.19	-nan
1.419	0.19	-nan
1.4194	0.19	-nan
1.4198	0.19	-nan
1.4202	0.19	-nan
1.4206	0.19	-nan
1.421	0.19	-nan
1.4214	0.19	-nan
1.4218	0.19	-nan
1.4222	0.19	-nan
1.4226	0.19	-nan
1.423	0.19	-nan
1.4234	0.19	-nan
1.4238	0.19	-nan
1.4242	0.19	-nan
1.4246	0.19	-nan
1.425	0.19	-nan
1.4254	0.19	-nan
1.4258	0.19	-nan
1.4262	0.19	-nan
1.4266	0.19	-nan
1.427	0.19	-nan
1.4274	0.19	-nan
1.4278	0.19	-nan
1.4282	0.19	-nan
1.4286	0.19	-nan
1.429	0.19	-nan
1.4294	0.19	-nan
1.4298	0.19	-nan
1.4302	0.19	-nan
1.4306	0.19	-nan
1.431	0.19	-nan
1.4314	0.19	-nan
1.4318	0.19	-nan
1.4322	0.19	-nan
1.4326	0.19	-nan
1.433	0.19	-nan
1.4334	0.19	-nan
1.4338	0.19	-nan
1.4342	0.19	-nan
1.4346	0.19	-nan
1.435	0.19	-nan
1.4354	0.19	-nan
1.4358	0.19	-nan
1.4362	0.19	-nan
1.4366	0.19	-nan
1.437	0.19	-nan
1.4374	0.19	-nan
1.4378	0.19	-nan
1.4382	0.19	-nan
1.4386	0.19	-nan
1.439	0.19	-nan
1.4394	0.19	-nan
1.4398	0.19	-nan
1.4002	0.21	-nan
1.4006	0.21	-nan
1.401	0.21	-nan
1.4014	0.21	-nan
1.4018	0.21	-nan
1.4022	0.21	-nan
1.4026	0.21	-nan
1.403	0.21	-nan
1.4034	0.21	-nan
1.4038	0.21	-nan
1.4042	0.21	-nan
1.4046	0.21	-nan
1.405	0.21	-nan
1.4054	0.21	-nan
1.4058	0.21	-nan
1.4062	0.21	-nan
1.4066	0.21	-nan
1.407	0.21	-nan
1.4074	0.21	-nan
1.4078	0.21	-nan
1.4082	0.21	-nan
1.4086	0.21	-nan
1.409	0.21	-nan
1.4094	0.21	-nan
1.4098	0.21	-nan
1.4102	0.21	-nan
1.4106	0.21	-nan
1.411	0.21	-nan
1.4114	0.21	-nan
1.4118	0.21	-nan
1.4122	0.21	-nan
1.4126	0.21	-nan
1.413	0.21	-nan
1.4134	0.21	-nan
1.4138	0.21	-nan
1.4142	0.21	-nan
1.4146	0.21	-nan
1.415	0.21	-nan
1.4154	0.21	-nan
1.4158	0.21	-nan
1.4162	0.21	-nan
1.4166	0.21	-nan
1.417	0.21	-nan
1.4174	0.21	-nan
1.4178	0.21	-nan
1.4182	0.21	-nan
1.4186	0.21	-nan
1.419	0.21	-nan
1.4194	0.21	-nan
1.4198	0.21	-nan
1.4202	0.21	-nan
1.4206	0.21	-nan
1.421	0.21	-nan
1.4214	0.21	-nan
1.4218	0.21	-nan
1.4222	0.21	-nan
1.4226	0.21	-nan
1.423	0.21	-nan
1.4234	0.21	-nan
1.4238	0.21	-nan
1.4242	0.21	-nan
1.4246	0.21	-nan
1.425	0.21	-nan
1.4254	0.21	-nan
1.4258	0.21	-nan
1.4262	0.21	-nan
1.4266	0.21	-nan
1.427	0.21	-nan
1.4274	0.21	-nan
1.4278	0.21	-nan
1.4282	0.21	-nan
1.4286	0.21	-nan
1.429	0.21	-nan
1.4294	0.21	-nan
1.4298	0.21	-nan
1.4302	0.21	-nan
1.4306	0.21	-nan
1.431	0.21	-nan
1.4314	0.21	-nan
1.4318	0.21	-nan
1.4322	0.21	-nan
1.4326	0.21	-nan
1.433	0.21	-nan
1.4334	0.21	-nan
1.4338	0.21	-nan
1.4342	0.21	-nan
1.4346	0.21	-nan
1.435	0.21	-nan
1.4354	0.21	-nan
