#n_l	N_0	probability

1.42793	0.152	1.22012e-21
1.42801	0.152	4.92456e-21
1.42809	0.152	7.15558e-20
1.42817	0.152	5.62509e-20
1.42824	0.152	3.12891e-19
1.42832	0.152	8.1098e-19
1.4284	0.152	2.1596e-18
1.42848	0.152	2.15867e-17
1.42856	0.152	2.28412e-16
1.42863	0.152	1.12466e-15
1.42871	0.152	8.13271e-15
1.42879	0.152	4.83141e-14
1.42887	0.152	1.9497e-13
1.42895	0.152	2.69105e-13
1.42902	0.152	5.24257e-12
1.4291	0.152	1.16412e-11
1.42918	0.152	9.25404e-11
1.42926	0.152	1.18582e-09
1.42934	0.152	4.1519e-09
1.42941	0.152	2.38545e-08
1.42949	0.152	7.2003e-08
1.42957	0.152	1.35749e-07
1.42965	0.152	4.01455e-07
1.42973	0.152	2.16835e-06
1.4298	0.152	4.10646e-06
1.42988	0.152	1.38523e-05
1.42996	0.152	2.53228e-05
1.42224	0.16	1.07783e-114
1.42232	0.16	5.1901e-113
1.42239	0.16	1.7211e-109
1.42247	0.16	1.51806e-108
1.42255	0.16	5.80791e-107
1.42263	0.16	2.7553e-104
1.42271	0.16	4.85149e-103
1.42278	0.16	1.68539e-102
1.42286	0.16	8.56567e-100
1.42294	0.16	1.69728e-97
1.42302	0.16	6.55875e-97
1.4231	0.16	9.83375e-96
1.42317	0.16	1.98307e-94
1.42325	0.16	1.34247e-92
1.42333	0.16	5.3265e-91
1.42341	0.16	1.35605e-89
1.42349	0.16	1.13161e-87
1.42356	0.16	6.29264e-86
1.42364	0.16	4.84644e-84
1.42372	0.16	3.53334e-81
1.4238	0.16	6.43193e-80
1.42388	0.16	1.10384e-78
1.42395	0.16	8.59243e-78
1.42403	0.16	2.50209e-76
1.42411	0.16	2.58042e-74
1.42419	0.16	3.76854e-73
1.42427	0.16	5.10094e-72
1.42434	0.16	2.9257e-70
1.42442	0.16	9.35894e-69
1.4245	0.16	2.41606e-66
1.42458	0.16	1.69928e-65
1.42466	0.16	2.53844e-63
1.42473	0.16	1.4623e-62
1.42481	0.16	1.69686e-60
1.42489	0.16	3.00538e-59
1.42497	0.16	3.17294e-58
1.42505	0.16	7.99601e-57
1.42512	0.16	3.38104e-56
1.4252	0.16	6.22607e-55
1.42528	0.16	3.18093e-54
1.42536	0.16	4.12171e-53
1.42544	0.16	2.59075e-51
1.42551	0.16	1.18427e-50
1.42559	0.16	3.40645e-49
1.42567	0.16	2.95529e-48
1.42575	0.16	4.43921e-47
1.42583	0.16	8.07154e-46
1.4259	0.16	5.8785e-45
1.42598	0.16	1.41014e-43
1.42606	0.16	7.37964e-43
1.42614	0.16	5.89036e-42
1.42622	0.16	4.98134e-41
1.42629	0.16	2.34052e-40
1.42637	0.16	1.81958e-38
1.42645	0.16	3.41109e-37
1.42653	0.16	1.09291e-36
1.42661	0.16	2.27322e-35
1.42668	0.16	2.97765e-33
1.42676	0.16	5.59509e-32
1.42684	0.16	3.8355e-31
1.42692	0.16	5.79355e-30
1.427	0.16	4.26945e-28
1.42707	0.16	9.17642e-28
1.42715	0.16	3.69243e-27
1.42723	0.16	3.07482e-26
1.42731	0.16	2.4742e-25
1.42739	0.16	2.81451e-24
